Sample	Kallisto_mqc_generalstats_kallisto_percent_aligned	Kallisto_mqc_generalstats_kallisto_pseudoaligned_reads	FastQC_mqc_generalstats_fastqc_percent_duplicates	FastQC_mqc_generalstats_fastqc_percent_gc	FastQC_mqc_generalstats_fastqc_avg_sequence_length	FastQC_mqc_generalstats_fastqc_median_sequence_length	FastQC_mqc_generalstats_fastqc_percent_fails	FastQC_mqc_generalstats_fastqc_total_sequences
fastqc | SRR8668755			65.89399718245215	50.0	74.47977032774406	75	30.0	89.921353
fastqc | SRR8668755_1M_subsample			34.98187394271703	50.0	74.479287	75	20.0	1.0
fastqc | SRR8668756			59.05638296198224	48.0	74.27136176491946	75	20.0	84.48385499999999
fastqc | SRR8668757			56.27171289620192	47.0	74.47828267220119	75	20.0	95.110159
fastqc | SRR8668758			48.73720826058155	49.0	72.73567113313266	75	10.0	30.161579
fastqc | SRR8668759			50.82794296566836	57.0	72.67510869111962	75	40.0	5.323802
fastqc | SRR8668769			71.71708122692716	53.0	74.49919337120164	75	30.0	94.251532
fastqc | SRR8668771			63.81019030990686	52.0	74.51151436024564	75	30.0	64.436537
fastqc | SRR8668772			62.37434087264336	50.0	74.46793996753237	75	30.0	68.179906
fastqc | SRR8668773			62.23118774864832	50.0	74.46369312611812	75	30.0	69.98012299999999
fastqc | SRR8668774			59.44554091232145	49.0	73.84977352599223	75	30.0	133.387934
kallisto_output | SRR8668755	52.74497927094135	47.428999						
kallisto_output | SRR8668755_1M_subsample	52.8076	0.528076						
kallisto_output | SRR8668756	68.9867170478904	58.282638						
kallisto_output | SRR8668757	48.74475606754059	46.361215						
kallisto_output | SRR8668758	62.218589418014226	18.766109						
kallisto_output | SRR8668759	48.108776397018524	2.561216						
kallisto_output | SRR8668769	67.6184510189182	63.731426						
kallisto_output | SRR8668771	52.163811968976546	33.612553999999996						
kallisto_output | SRR8668772	54.34383702435729	37.051577						
kallisto_output | SRR8668773	65.42654690675522	45.785578						
kallisto_output | SRR8668774	58.96871826502688	78.657155						
